code,name,industry,ipo_date,status,current_price,ma5,ma10,ma20,ma60,volume_avg_20,price_change_1d,price_change_5d,price_change_20d,price_change_60d,high_52w,low_52w,volatility_20d,score,industry_category
sh.600685,中船防务,C37铁路、船舶、航空航天和其他运输设备制造业,1993-10-28,1,27.77,27.802,27.551,27.076999999999998,25.371333333333332,21571665.4,-0.1079,-1.0334996436208055,11.61575562700965,15.949895615866394,29.06,20.59,1.7867680131278492,100,高端装备制造
sh.600531,豫光金铅,C32有色金属冶炼和压延加工业,2002-07-30,1,8.07,8.142,8.113,7.9155,7.4355,38952919.8,0.7491,0.49813200498132204,10.095497953615284,17.467248908296938,8.58,5.51,2.0402917114961774,100,新材料
sh.600301,华锡有色,B09有色金属矿采选业,2000-07-12,1,21.4,21.204,20.898,20.4345,19.8415,9306799.4,2.3923,0.7058823529411784,14.072494669509572,2.9341029341029223,26.75,16.57,1.9923842989322063,100,新材料
sh.600961,株冶集团,C32有色金属冶炼和压延加工业,2004-08-30,1,11.37,11.326,11.331999999999999,11.091,10.645833333333334,36850784.75,1.7905,-2.3195876288659933,10.0677637947725,1.608579088471851,11.79,7.66,2.9733525679158164,100,新材料
sh.601020,华钰矿业,B09有色金属矿采选业,2016-03-16,1,19.69,19.834,19.753,18.887999999999998,18.122666666666667,44108411.75,0.5105,-4.971042471042464,16.99346405228761,2.338877338877343,26.03,11.75,2.26291244322095,100,新材料
sh.688231,隆达股份,C32有色金属冶炼和压延加工业,2022-07-22,1,19.06,18.372,18.247,17.856,16.764166666666668,3605828.05,1.8162,3.3062330623306213,16.29042098840756,27.151434289526332,19.2,12.75,2.08316086522886,100,新材料
sh.688750,金天钛业,C32有色金属冶炼和压延加工业,2024-11-20,1,21.46,21.220000000000002,21.217000000000002,21.052500000000002,19.6805,6295623.25,0.9407,0.32725572697522853,10.504634397528312,14.20968600319319,37.01,17.41,2.401801719208881,100,新材料
sh.600711,ST盛屯,B09有色金属矿采选业,1996-05-31,1,7.08,7.206,7.183,6.744,6.009333333333333,96753270.1,-1.3928,-1.8030513176144236,22.916666666666675,18.991596638655462,7.46,4.58,2.554702925045658,100,新材料
sh.600768,宁波富邦,C32有色金属冶炼和压延加工业,1996-11-11,1,11.97,11.892000000000001,11.806999999999999,11.5305,10.811833333333334,4268208.95,0.5882,1.7857142857143016,14.326647564469909,33.00000000000001,12.1,7.58,1.2521556648121082,100,新材料
sh.600392,盛和资源,C32有色金属冶炼和压延加工业,2003-05-29,1,17.03,15.780000000000001,14.658000000000001,13.7975,12.669999999999998,99749758.2,5.7764,13.609072715143444,31.91324554608832,65.17943743937924,17.46,9.66,3.0781970872018403,95,新材料
