code,name,current_price,pe_ratio,pb_ratio,market_cap,graham_score,buffett_score,lynch_score,total_score,investment_grade
601336,新华保险,65.49,8.68,2.56,204299106834.0,4,6,4,14,A (推荐)
601066,中信建投,26.3,27.68,2.61,204001073161.0,0,5,2,7,B (一般)
601225,陕西煤业,20.64,10.41,2.34,200104800000.0,2,6,5,13,A (推荐)
603993,洛阳钼业,9.26,12.55,2.86,198111312230.0,2,6,5,13,A (推荐)
601881,中国银河,17.94,16.26,1.75,196163176473.0,2,6,4,12,A (推荐)
600309,万华化学,62.09,15.77,2.02,194370983258.0,1,6,4,11,B+ (值得关注)
002142,宁波银行,29.0,6.48,0.78,191504132968.0,8,6,5,19,A+ (强烈推荐)
601633,长城汽车,22.28,15.05,2.26,190693315387.0,1,6,4,11,B+ (值得关注)
601985,中国核电,9.25,15.16,1.74,190254019185.0,2,6,4,12,A (推荐)
003816,中国广核,3.73,15.56,1.59,188359819403.0,2,6,4,12,A (推荐)
300502,新易盛,189.09,29.87,19.51,187901548928.0,0,3,2,5,C (谨慎)
600760,中航沈飞,66.18,108.94,9.03,187626568173.0,0,2,0,2,D (不推荐)
601688,华泰证券,20.5,12.7,1.11,185059696761.0,6,6,5,17,A+ (强烈推荐)
000568,泸州老窖,124.3,9.96,3.65,182963571823.0,3,5,4,12,A (推荐)
601995,中金公司,37.48,22.15,1.92,180925587413.0,1,5,4,10,B+ (值得关注)
600406,国电南瑞,22.1,65.24,3.81,177509150524.0,0,3,0,3,C (谨慎)
300124,汇川技术,65.09,33.16,6.16,175436879322.0,0,2,1,3,C (谨慎)
600887,伊利股份,27.52,8.93,3.44,174073925556.0,3,5,4,12,A (推荐)
600031,三一重工,20.21,17.33,2.38,171279306128.0,1,6,4,11,B+ (值得关注)
600050,中国联通,5.43,16.29,1.03,169765829526.0,4,6,4,14,A (推荐)
600025,华能水电,9.3,27.75,2.94,167400000000.0,0,5,2,7,B (一般)
000063,中兴通讯,34.99,17.06,2.32,167375885696.0,1,6,4,11,B+ (值得关注)
300999,金龙鱼,30.83,42.58,1.77,167147667055.0,1,4,0,5,C (谨慎)
300476,胜宏科技,190.0,44.51,16.95,163910841790.0,0,2,0,2,D (不推荐)
600019,宝钢股份,7.51,16.8,0.81,163583456465.0,6,6,4,16,A+ (强烈推荐)
601898,中煤能源,12.03,10.02,1.02,159501720702.0,6,6,5,17,A+ (强烈推荐)
600999,招商证券,18.3,17.24,1.4,159146440550.0,3,6,4,13,A (推荐)
300033,同花顺,292.98,327.06,24.31,157506048000.0,0,2,0,2,D (不推荐)
300274,阳光电源,75.8,10.27,4.07,157149425939.0,2,5,5,12,A (推荐)
600150,中国船舶,35.02,34.75,3.08,156624455105.0,0,3,1,4,C (谨慎)
000725,京东方Ａ,4.11,23.82,1.18,153771048707.0,2,5,3,10,B+ (值得关注)
601800,中国交建,9.39,6.99,0.53,152856161281.0,8,6,5,19,A+ (强烈推荐)
603501,豪威集团,125.06,43.95,6.16,152226006552.0,0,2,0,2,D (不推荐)
000776,广发证券,19.73,13.61,1.24,150063331932.0,5,6,5,16,A+ (强烈推荐)
605499,东鹏饮料,286.73,31.39,17.07,149103327490.0,0,2,1,3,C (谨慎)
601229,上海银行,10.34,5.84,0.62,146920772982.0,8,6,5,19,A+ (强烈推荐)
600660,福耀玻璃,55.1,17.71,4.21,143796868613.0,1,5,4,10,B+ (值得关注)
601009,南京银行,11.63,5.88,0.85,143788287059.0,8,6,5,19,A+ (强烈推荐)
601390,中国中铁,5.78,5.93,0.46,143003031552.0,8,6,5,19,A+ (强烈推荐)
600111,北方稀土,39.45,82.79,6.27,142614347467.0,0,2,0,2,D (不推荐)
