股票代码,平均营收增长率,正增长比例,数据年数
688520,3486.5447333333336,0.8,15
688091,600.27235,0.6,10
300872,14.990958823529414,0.7058823529411765,17
600267,-0.4043117647058823,0.35294117647058826,17
601003,14.229694117647059,0.47058823529411764,17
600645,5.935888235294117,0.8235294117647058,17
600475,15.939241176470588,0.8235294117647058,17
600744,3.7544823529411766,0.7647058823529411,17
301526,-0.4000000000000002,0.36363636363636365,11
603228,17.752317647058824,0.8823529411764706,17
601718,-6.1597470588235295,0.4117647058823529,17
300529,15.073811764705882,0.6470588235294118,17
601519,6.991364705882353,0.47058823529411764,17
688630,60.03350588235294,1.0,17
603881,18.360623529411765,1.0,17
300468,7.687223529411764,0.8823529411764706,17
600095,59.9815,0.4117647058823529,17
300395,29.828076470588233,0.7058823529411765,17
688213,57.13971875000001,0.75,16
601965,11.208529411764705,0.7647058823529411,17
600751,67.34207058823529,0.5882352941176471,17
600104,2.0861294117647065,0.35294117647058826,17
688279,26.16105333333333,0.8,15
600521,10.723917647058823,0.7647058823529411,17
300010,-6.881929411764707,0.23529411764705882,17
603256,11.553076470588236,0.6470588235294118,17
601222,7.949617647058822,0.5294117647058824,17
600167,-0.6802176470588237,0.4117647058823529,17
600415,38.80107058823529,0.9411764705882353,17
600673,1.788623529411764,0.5294117647058824,17
301602,9.711383333333334,0.6666666666666666,6
688076,53.450858823529416,0.8235294117647058,17
600380,5.355982352941177,0.5294117647058824,17
301511,39.114491666666666,0.75,12
603529,19.28960588235294,0.9411764705882353,17
